Reg 0 - Cid 0: menor: 0, maior: 100, mediana: 48.00, media: 48.05 e DP: 29.81
Reg 0 - Cid 85: menor: 0, maior: 100, mediana: 50.00, media: 49.84 e DP: 29.02
Reg 0 - Cid 86: menor: 0, maior: 100, mediana: 52.00, media: 50.92 e DP: 29.56
Reg 0 - Cid 87: menor: 0, maior: 100, mediana: 49.00, media: 49.63 e DP: 29.31
Reg 0 - Cid 88: menor: 0, maior: 100, mediana: 50.00, media: 50.14 e DP: 29.51
Reg 0 - Cid 89: menor: 0, maior: 100, mediana: 48.00, media: 48.79 e DP: 29.57
Reg 0 - Cid 90: menor: 0, maior: 100, mediana: 52.00, media: 51.60 e DP: 29.08
Reg 0 - Cid 91: menor: 0, maior: 100, mediana: 52.00, media: 50.67 e DP: 29.76
Reg 0 - Cid 92: menor: 0, maior: 100, mediana: 54.00, media: 52.65 e DP: 28.84
Reg 0 - Cid 93: menor: 0, maior: 100, mediana: 52.00, media: 51.28 e DP: 29.82
Reg 0 - Cid 94: menor: 0, maior: 100, mediana: 53.00, media: 51.54 e DP: 29.58
Reg 0 - Cid 95: menor: 0, maior: 100, mediana: 52.00, media: 50.57 e DP: 29.02
Reg 0 - Cid 96: menor: 0, maior: 100, mediana: 50.00, media: 49.98 e DP: 29.73
Reg 0 - Cid 97: menor: 0, maior: 100, mediana: 48.00, media: 48.97 e DP: 29.56
Reg 0 - Cid 98: menor: 0, maior: 100, mediana: 49.00, media: 48.67 e DP: 29.06
Reg 0 - Cid 99: menor: 0, maior: 100, mediana: 53.00, media: 51.36 e DP: 28.56
Reg 0 - Cid 100: menor: 0, maior: 100, mediana: 52.00, media: 50.20 e DP: 29.01
Reg 1 - Cid 0: menor: 0, maior: 100, mediana: 51.00, media: 49.43 e DP: 28.37
Reg 1 - Cid 1: menor: 0, maior: 100, mediana: 51.00, media: 51.19 e DP: 29.67
Reg 1 - Cid 2: menor: 0, maior: 100, mediana: 48.00, media: 48.84 e DP: 29.08
Reg 1 - Cid 3: menor: 0, maior: 100, mediana: 50.00, media: 49.89 e DP: 29.15
Reg 1 - Cid 4: menor: 0, maior: 100, mediana: 50.00, media: 50.89 e DP: 29.06
Reg 1 - Cid 5: menor: 0, maior: 100, mediana: 50.50, media: 50.40 e DP: 29.84
Reg 1 - Cid 6: menor: 0, maior: 100, mediana: 53.00, media: 52.12 e DP: 29.19
Reg 1 - Cid 7: menor: 0, maior: 100, mediana: 52.00, media: 51.24 e DP: 28.53
Reg 1 - Cid 8: menor: 0, maior: 100, mediana: 50.00, media: 49.90 e DP: 29.13
Reg 1 - Cid 9: menor: 0, maior: 100, mediana: 49.00, media: 49.42 e DP: 28.59
Reg 1 - Cid 10: menor: 0, maior: 100, mediana: 48.00, media: 48.63 e DP: 29.01
Reg 1 - Cid 11: menor: 0, maior: 100, mediana: 51.00, media: 50.83 e DP: 29.58
Reg 1 - Cid 12: menor: 0, maior: 100, mediana: 50.00, media: 51.24 e DP: 29.50
Reg 1 - Cid 13: menor: 0, maior: 100, mediana: 50.00, media: 50.44 e DP: 29.13
Reg 1 - Cid 14: menor: 0, maior: 100, mediana: 50.00, media: 49.54 e DP: 28.95
Reg 1 - Cid 15: menor: 0, maior: 100, mediana: 50.00, media: 49.54 e DP: 29.41
Reg 1 - Cid 16: menor: 0, maior: 100, mediana: 52.00, media: 51.97 e DP: 28.88
Reg 1 - Cid 17: menor: 0, maior: 100, mediana: 47.00, media: 48.64 e DP: 29.00
Reg 1 - Cid 18: menor: 0, maior: 100, mediana: 51.00, media: 50.78 e DP: 29.28
Reg 1 - Cid 19: menor: 0, maior: 100, mediana: 50.00, media: 49.83 e DP: 28.44
Reg 1 - Cid 20: menor: 0, maior: 100, mediana: 49.00, media: 49.71 e DP: 29.52
Reg 1 - Cid 21: menor: 0, maior: 100, mediana: 49.00, media: 48.90 e DP: 29.15
Reg 1 - Cid 22: menor: 0, maior: 100, mediana: 50.50, media: 49.76 e DP: 29.44
Reg 1 - Cid 23: menor: 0, maior: 100, mediana: 51.00, media: 51.35 e DP: 29.77
Reg 1 - Cid 24: menor: 0, maior: 100, mediana: 48.00, media: 49.62 e DP: 27.96
Reg 1 - Cid 25: menor: 0, maior: 100, mediana: 51.00, media: 50.23 e DP: 29.20
Reg 1 - Cid 26: menor: 0, maior: 100, mediana: 51.50, media: 51.00 e DP: 28.84
Reg 1 - Cid 27: menor: 0, maior: 100, mediana: 50.00, media: 49.42 e DP: 29.25
Reg 1 - Cid 28: menor: 0, maior: 100, mediana: 49.00, media: 49.94 e DP: 29.10
Reg 1 - Cid 29: menor: 0, maior: 100, mediana: 49.00, media: 48.67 e DP: 30.46
Reg 1 - Cid 30: menor: 0, maior: 100, mediana: 51.00, media: 49.68 e DP: 29.28
Reg 1 - Cid 31: menor: 0, maior: 100, mediana: 49.00, media: 49.57 e DP: 29.25
Reg 1 - Cid 32: menor: 0, maior: 100, mediana: 47.00, media: 49.19 e DP: 29.34
Reg 1 - Cid 33: menor: 0, maior: 100, mediana: 52.00, media: 50.73 e DP: 29.43
Reg 1 - Cid 34: menor: 0, maior: 100, mediana: 48.00, media: 49.69 e DP: 28.69
Reg 1 - Cid 35: menor: 0, maior: 100, mediana: 51.00, media: 50.48 e DP: 28.81
Reg 1 - Cid 36: menor: 0, maior: 100, mediana: 51.00, media: 50.00 e DP: 29.69
Reg 1 - Cid 37: menor: 0, maior: 100, mediana: 49.00, media: 49.46 e DP: 29.43
Reg 1 - Cid 38: menor: 0, maior: 100, mediana: 50.00, media: 50.18 e DP: 29.77
Reg 1 - Cid 39: menor: 0, maior: 100, mediana: 51.00, media: 49.92 e DP: 29.00
Reg 1 - Cid 40: menor: 0, maior: 100, mediana: 49.00, media: 50.51 e DP: 29.04
Reg 1 - Cid 41: menor: 0, maior: 100, mediana: 49.00, media: 49.22 e DP: 29.18
Reg 1 - Cid 42: menor: 0, maior: 100, mediana: 50.00, media: 50.05 e DP: 28.75
Reg 1 - Cid 43: menor: 0, maior: 100, mediana: 52.00, media: 51.41 e DP: 29.44
Reg 1 - Cid 44: menor: 0, maior: 100, mediana: 51.00, media: 50.41 e DP: 29.67
Reg 1 - Cid 45: menor: 0, maior: 100, mediana: 52.00, media: 51.16 e DP: 29.48
Reg 1 - Cid 46: menor: 0, maior: 100, mediana: 52.00, media: 50.60 e DP: 29.36
Reg 1 - Cid 47: menor: 0, maior: 100, mediana: 47.50, media: 47.42 e DP: 29.30
Reg 1 - Cid 48: menor: 0, maior: 100, mediana: 52.00, media: 51.79 e DP: 29.18
Reg 1 - Cid 49: menor: 0, maior: 100, mediana: 54.00, media: 52.13 e DP: 29.29
Reg 1 - Cid 50: menor: 0, maior: 100, mediana: 49.00, media: 48.92 e DP: 28.88
Reg 1 - Cid 51: menor: 0, maior: 100, mediana: 45.00, media: 47.73 e DP: 29.40
Reg 1 - Cid 52: menor: 0, maior: 100, mediana: 52.00, media: 50.76 e DP: 28.41
Reg 1 - Cid 53: menor: 0, maior: 100, mediana: 49.00, media: 49.13 e DP: 29.88
Reg 1 - Cid 54: menor: 0, maior: 100, mediana: 49.00, media: 48.61 e DP: 29.04
Reg 1 - Cid 55: menor: 0, maior: 100, mediana: 51.00, media: 50.53 e DP: 29.27
Reg 1 - Cid 56: menor: 0, maior: 100, mediana: 47.00, media: 48.61 e DP: 28.99
Reg 1 - Cid 57: menor: 0, maior: 100, mediana: 49.50, media: 49.90 e DP: 29.16
Reg 1 - Cid 58: menor: 0, maior: 100, mediana: 51.00, media: 50.71 e DP: 29.38
Reg 1 - Cid 59: menor: 0, maior: 100, mediana: 50.50, media: 50.56 e DP: 28.55
Reg 1 - Cid 60: menor: 0, maior: 100, mediana: 52.00, media: 51.41 e DP: 29.57
Reg 1 - Cid 61: menor: 0, maior: 100, mediana: 49.00, media: 50.08 e DP: 29.39
Reg 1 - Cid 62: menor: 0, maior: 100, mediana: 50.00, media: 49.85 e DP: 28.79
Reg 1 - Cid 63: menor: 0, maior: 100, mediana: 51.00, media: 50.06 e DP: 28.62
Reg 1 - Cid 64: menor: 0, maior: 100, mediana: 49.00, media: 49.01 e DP: 28.94
Reg 1 - Cid 65: menor: 0, maior: 100, mediana: 50.00, media: 50.39 e DP: 29.47
Reg 1 - Cid 66: menor: 0, maior: 100, mediana: 46.00, media: 48.07 e DP: 29.18
Reg 1 - Cid 67: menor: 0, maior: 100, mediana: 50.50, media: 50.82 e DP: 29.13
Reg 1 - Cid 68: menor: 0, maior: 100, mediana: 50.00, media: 50.18 e DP: 29.01
Reg 1 - Cid 69: menor: 0, maior: 100, mediana: 51.00, media: 50.27 e DP: 29.17
Reg 1 - Cid 70: menor: 0, maior: 100, mediana: 49.00, media: 50.09 e DP: 28.89
Reg 1 - Cid 71: menor: 0, maior: 100, mediana: 51.00, media: 49.45 e DP: 28.99
Reg 1 - Cid 72: menor: 0, maior: 100, mediana: 49.00, media: 48.96 e DP: 28.92
Reg 1 - Cid 73: menor: 0, maior: 100, mediana: 49.00, media: 49.71 e DP: 29.57
Reg 1 - Cid 74: menor: 0, maior: 100, mediana: 51.00, media: 50.62 e DP: 29.47
Reg 1 - Cid 75: menor: 0, maior: 100, mediana: 50.00, media: 50.96 e DP: 29.17
Reg 1 - Cid 76: menor: 0, maior: 100, mediana: 52.00, media: 51.88 e DP: 28.69
Reg 1 - Cid 77: menor: 0, maior: 100, mediana: 50.00, media: 49.44 e DP: 29.86
Reg 1 - Cid 78: menor: 0, maior: 100, mediana: 51.00, media: 50.47 e DP: 29.46
Reg 1 - Cid 79: menor: 0, maior: 100, mediana: 51.00, media: 49.11 e DP: 28.77
Reg 1 - Cid 80: menor: 0, maior: 100, mediana: 48.00, media: 49.38 e DP: 28.85
Reg 1 - Cid 81: menor: 0, maior: 100, mediana: 51.00, media: 51.08 e DP: 29.56
Reg 1 - Cid 82: menor: 0, maior: 100, mediana: 51.00, media: 51.16 e DP: 29.17
Reg 1 - Cid 83: menor: 0, maior: 100, mediana: 50.00, media: 49.98 e DP: 28.81
Reg 1 - Cid 84: menor: 0, maior: 100, mediana: 49.00, media: 48.98 e DP: 29.07
Reg 1 - Cid 85: menor: 0, maior: 100, mediana: 54.00, media: 52.64 e DP: 28.93
Reg 1 - Cid 86: menor: 0, maior: 100, mediana: 51.00, media: 50.45 e DP: 28.58
Reg 1 - Cid 87: menor: 0, maior: 100, mediana: 49.00, media: 49.33 e DP: 28.57
Reg 1 - Cid 88: menor: 0, maior: 100, mediana: 52.00, media: 50.76 e DP: 28.51
Reg 1 - Cid 89: menor: 0, maior: 100, mediana: 47.00, media: 48.77 e DP: 29.14
Reg 1 - Cid 90: menor: 0, maior: 100, mediana: 50.00, media: 49.86 e DP: 28.76
Reg 1 - Cid 91: menor: 0, maior: 100, mediana: 51.50, media: 51.55 e DP: 29.47
Reg 1 - Cid 92: menor: 0, maior: 100, mediana: 51.00, media: 49.96 e DP: 29.69
Reg 1 - Cid 93: menor: 0, maior: 100, mediana: 50.00, media: 49.69 e DP: 29.01
Reg 1 - Cid 94: menor: 0, maior: 100, mediana: 51.00, media: 50.59 e DP: 29.48
Reg 1 - Cid 95: menor: 0, maior: 100, mediana: 48.00, media: 49.18 e DP: 29.15
Reg 1 - Cid 96: menor: 0, maior: 100, mediana: 51.50, media: 50.38 e DP: 29.54
Reg 1 - Cid 97: menor: 0, maior: 100, mediana: 52.00, media: 51.12 e DP: 29.20
Reg 1 - Cid 98: menor: 0, maior: 100, mediana: 52.00, media: 51.46 e DP: 28.83
Reg 1 - Cid 99: menor: 0, maior: 100, mediana: 51.00, media: 50.63 e DP: 29.38
Reg 1 - Cid 100: menor: 0, maior: 100, mediana: 51.00, media: 50.34 e DP: 29.01
Reg 2 - Cid 0: menor: 0, maior: 100, mediana: 52.00, media: 51.27 e DP: 28.69
Reg 2 - Cid 1: menor: 0, maior: 100, mediana: 51.00, media: 50.02 e DP: 28.83
Reg 2 - Cid 2: menor: 0, maior: 100, mediana: 51.00, media: 49.87 e DP: 29.29
Reg 2 - Cid 3: menor: 0, maior: 100, mediana: 52.00, media: 51.42 e DP: 29.07
Reg 2 - Cid 4: menor: 0, maior: 100, mediana: 51.00, media: 49.83 e DP: 29.12
Reg 2 - Cid 5: menor: 0, maior: 100, mediana: 51.00, media: 50.66 e DP: 28.84
Reg 2 - Cid 6: menor: 0, maior: 100, mediana: 48.00, media: 48.74 e DP: 29.14
Reg 2 - Cid 7: menor: 0, maior: 100, mediana: 48.00, media: 48.59 e DP: 29.19
Reg 2 - Cid 8: menor: 0, maior: 100, mediana: 48.00, media: 49.29 e DP: 28.79
Reg 2 - Cid 9: menor: 0, maior: 100, mediana: 52.00, media: 50.88 e DP: 29.11
Reg 2 - Cid 10: menor: 0, maior: 100, mediana: 50.00, media: 49.54 e DP: 29.21
Reg 2 - Cid 11: menor: 0, maior: 100, mediana: 50.00, media: 49.93 e DP: 29.10
Reg 2 - Cid 12: menor: 0, maior: 100, mediana: 50.00, media: 50.09 e DP: 29.45
Reg 2 - Cid 13: menor: 0, maior: 100, mediana: 52.00, media: 50.50 e DP: 29.34
Reg 2 - Cid 14: menor: 0, maior: 100, mediana: 51.00, media: 50.16 e DP: 29.16
Reg 2 - Cid 15: menor: 0, maior: 100, mediana: 50.00, media: 49.71 e DP: 29.78
Reg 2 - Cid 16: menor: 0, maior: 100, mediana: 49.00, media: 49.27 e DP: 29.44
Reg 2 - Cid 17: menor: 0, maior: 100, mediana: 50.00, media: 49.96 e DP: 28.48
Reg 2 - Cid 18: menor: 0, maior: 100, mediana: 50.50, media: 50.20 e DP: 28.94
Reg 2 - Cid 19: menor: 0, maior: 100, mediana: 49.00, media: 49.84 e DP: 29.14
Reg 2 - Cid 20: menor: 0, maior: 100, mediana: 51.00, media: 50.12 e DP: 29.31
Reg 2 - Cid 21: menor: 0, maior: 100, mediana: 48.50, media: 49.58 e DP: 29.92
Reg 2 - Cid 22: menor: 0, maior: 100, mediana: 50.00, media: 49.94 e DP: 29.21
Reg 2 - Cid 23: menor: 0, maior: 100, mediana: 49.50, media: 49.66 e DP: 29.34
Reg 2 - Cid 24: menor: 0, maior: 100, mediana: 47.00, media: 48.58 e DP: 28.87
Reg 2 - Cid 25: menor: 0, maior: 100, mediana: 50.50, media: 50.49 e DP: 28.99
Reg 2 - Cid 26: menor: 0, maior: 100, mediana: 49.00, media: 50.08 e DP: 29.78
Reg 2 - Cid 27: menor: 0, maior: 100, mediana: 49.00, media: 49.30 e DP: 29.71
Reg 2 - Cid 28: menor: 0, maior: 100, mediana: 48.00, media: 49.35 e DP: 29.09
Reg 2 - Cid 29: menor: 0, maior: 100, mediana: 49.00, media: 49.30 e DP: 29.07
Reg 2 - Cid 30: menor: 0, maior: 100, mediana: 50.50, media: 49.56 e DP: 29.06
Reg 2 - Cid 31: menor: 0, maior: 100, mediana: 49.00, media: 49.68 e DP: 29.41
Reg 2 - Cid 32: menor: 0, maior: 100, mediana: 50.00, media: 50.23 e DP: 28.87
Reg 2 - Cid 33: menor: 0, maior: 100, mediana: 51.00, media: 50.70 e DP: 29.95
Reg 2 - Cid 34: menor: 0, maior: 100, mediana: 48.00, media: 48.76 e DP: 28.94
Reg 2 - Cid 35: menor: 0, maior: 100, mediana: 50.00, media: 49.55 e DP: 28.35
Reg 2 - Cid 36: menor: 0, maior: 100, mediana: 50.00, media: 49.12 e DP: 29.50
Reg 2 - Cid 37: menor: 0, maior: 100, mediana: 48.00, media: 48.68 e DP: 28.49
Reg 2 - Cid 38: menor: 0, maior: 100, mediana: 48.00, media: 48.67 e DP: 28.95
Reg 2 - Cid 39: menor: 0, maior: 100, mediana: 52.00, media: 51.60 e DP: 29.28
Reg 2 - Cid 40: menor: 0, maior: 100, mediana: 53.00, media: 51.65 e DP: 28.70
Reg 2 - Cid 41: menor: 0, maior: 100, mediana: 51.50, media: 51.38 e DP: 29.14
Reg 2 - Cid 42: menor: 0, maior: 100, mediana: 48.00, media: 48.56 e DP: 29.15
Reg 2 - Cid 43: menor: 0, maior: 100, mediana: 53.00, media: 51.08 e DP: 29.32
Reg 2 - Cid 44: menor: 0, maior: 100, mediana: 49.00, media: 49.70 e DP: 28.87
Reg 2 - Cid 45: menor: 0, maior: 100, mediana: 52.00, media: 51.21 e DP: 29.14
Reg 2 - Cid 46: menor: 0, maior: 100, mediana: 48.00, media: 49.12 e DP: 29.89
Reg 2 - Cid 47: menor: 0, maior: 100, mediana: 49.00, media: 49.15 e DP: 29.15
Reg 2 - Cid 48: menor: 0, maior: 100, mediana: 52.00, media: 50.64 e DP: 29.38
Reg 2 - Cid 49: menor: 0, maior: 100, mediana: 52.00, media: 51.13 e DP: 29.85
Reg 2 - Cid 50: menor: 0, maior: 100, mediana: 52.00, media: 50.91 e DP: 28.52
Reg 2 - Cid 51: menor: 0, maior: 100, mediana: 51.00, media: 49.81 e DP: 28.77
Reg 2 - Cid 52: menor: 0, maior: 100, mediana: 49.00, media: 50.22 e DP: 28.29
Reg 2 - Cid 53: menor: 0, maior: 100, mediana: 48.50, media: 49.60 e DP: 29.55
Reg 2 - Cid 54: menor: 0, maior: 100, mediana: 51.00, media: 50.52 e DP: 28.91
Reg 2 - Cid 55: menor: 0, maior: 100, mediana: 50.50, media: 50.20 e DP: 29.68
Reg 2 - Cid 56: menor: 0, maior: 100, mediana: 48.00, media: 49.80 e DP: 29.18
Reg 2 - Cid 57: menor: 0, maior: 100, mediana: 51.00, media: 50.84 e DP: 29.34
Reg 2 - Cid 58: menor: 0, maior: 100, mediana: 52.00, media: 51.28 e DP: 29.16
Reg 2 - Cid 59: menor: 0, maior: 100, mediana: 50.00, media: 49.67 e DP: 29.36
Reg 2 - Cid 60: menor: 0, maior: 100, mediana: 51.00, media: 51.54 e DP: 29.59
Reg 2 - Cid 61: menor: 0, maior: 100, mediana: 49.00, media: 48.71 e DP: 29.37
Reg 2 - Cid 62: menor: 0, maior: 100, mediana: 51.00, media: 50.20 e DP: 29.26
Reg 2 - Cid 63: menor: 0, maior: 100, mediana: 47.00, media: 48.59 e DP: 29.02
Reg 2 - Cid 64: menor: 0, maior: 100, mediana: 48.50, media: 48.93 e DP: 28.45
Reg 2 - Cid 65: menor: 0, maior: 100, mediana: 51.00, media: 50.95 e DP: 29.52
Reg 2 - Cid 66: menor: 0, maior: 100, mediana: 48.00, media: 48.58 e DP: 29.08
Reg 2 - Cid 67: menor: 0, maior: 100, mediana: 49.00, media: 49.31 e DP: 29.25
Reg 2 - Cid 68: menor: 0, maior: 100, mediana: 49.00, media: 50.10 e DP: 28.54
Reg 2 - Cid 69: menor: 0, maior: 100, mediana: 51.00, media: 50.59 e DP: 29.06
Reg 2 - Cid 70: menor: 0, maior: 100, mediana: 50.00, media: 50.41 e DP: 28.85
Reg 2 - Cid 71: menor: 0, maior: 100, mediana: 50.00, media: 50.69 e DP: 29.22
Reg 2 - Cid 72: menor: 0, maior: 100, mediana: 49.00, media: 49.58 e DP: 29.03
Reg 2 - Cid 73: menor: 0, maior: 100, mediana: 50.00, media: 49.40 e DP: 28.40
Reg 2 - Cid 74: menor: 0, maior: 100, mediana: 50.00, media: 49.84 e DP: 29.66
Reg 2 - Cid 75: menor: 0, maior: 100, mediana: 49.00, media: 49.49 e DP: 29.00
Reg 2 - Cid 76: menor: 0, maior: 100, mediana: 49.50, media: 49.18 e DP: 29.44
